Audit batch complete. Results:

**6 PASS, 4 FIXED, 0 UNFIXABLE**

| Strategy | Status | Long/Short Entries | Issues |
|---|---|---|---|
| opus_sector_rotation_v1 | PASS | 70318/70739 | 0 |
| opus_three_bar_momentum_v1 | **FIXED** | 1281/1191 | 1 |
| opus_vix_adjusted_mean_reversion_v1 | PASS | 39099/32689 | 0 |
| opus_vix_mean_reversion_v1 | **FIXED** | 15219/11517 | 1 |
| opus_vix_regime_switch_v1 | **FIXED** | 3611/3420 | 1 |
| opus_volatility_breakout_v1 | **FIXED** | 120/77 | 1 |
| opus_vwap_band_reversion_v1 | PASS | 2589/8058 | 0 |
| opus_vwap_crossover_flow_v1 | PASS | 314/227 | 0 |
| opus_vwap_mean_reversion_v1 | PASS | 6675/6713 | 0 |
| opus_vwap_rsi_volume_confluence_v1 | PASS | 1527/1628 | 0 |

**Root cause for all 4 fixes:** Session window enforcement was missing. Each strategy declared `session_start`/`session_end` but `compute()` generated entry signals without applying a `time_ok` filter. A `# AUDIT FIX:` comment was added to the top of each fixed file.
